[Kavita] [2026-04-14 07:08:04.657 +00:00  13] [Warning] Microsoft.EntityFrameworkCore.Query The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
[Kavita] [2026-04-14 07:08:04.746 +00:00  13] [Warning] Microsoft.EntityFrameworkCore.Query The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
[Kavita] [2026-04-14 07:08:04.841 +00:00  13] [Fatal] API.Program Running ManualMigrateEnableMetadataMatchingDefault migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.848 +00:00  13] [Fatal] API.Program Running ManualMigrateBookReadingProgress migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.893 +00:00  13] [Fatal] API.Program Running ManualMigrateBookReadingProgress migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.894 +00:00  13] [Fatal] API.Program Running MigrateBadKoreaderProgress migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.916 +00:00  13] [Fatal] API.Program Running MigrateBadKoreaderProgress migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.918 +00:00  13] [Fatal] API.Program Running MigrateProgressToReadingSessions migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.930 +00:00  13] [Information] API.Program [MigrateProgressToReadingSessions] No progress records found to migrate
[Kavita] [2026-04-14 07:08:04.935 +00:00  13] [Fatal] API.Program Running MigrateProgressToReadingSessions migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.937 +00:00  13] [Fatal] API.Program Running MigrateMissingCreatedUtcDate migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.968 +00:00  13] [Fatal] API.Program Running MigrateMissingCreatedUtcDate migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.969 +00:00  13] [Fatal] API.Program Running MigrateTotalReads migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.988 +00:00  13] [Information] API.Program [MigrateTotalReads] No progress records found to migrate
[Kavita] [2026-04-14 07:08:04.992 +00:00  13] [Fatal] API.Program Running MigrateTotalReads migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.994 +00:00  13] [Fatal] API.Program Running MigrateToAuthKeys migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:05.054 +00:00  13] [Fatal] API.Program Running MigrateToAuthKeys migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:05.056 +00:00  13] [Fatal] API.Program Running MigrateMissingAppUserRatingDateColumns migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:05.057 +00:00  13] [Debug] API.Program Checking for missing date columns on AppUserRating table
[Kavita] [2026-04-14 07:08:05.062 +00:00  13] [Debug] API.Program All date columns already exist on AppUserRating table. Skipping migration.
[Kavita] [2026-04-14 07:08:05.067 +00:00  13] [Fatal] API.Program Running MigrateMissingAppUserRatingDateColumns migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:05.068 +00:00  13] [Fatal] API.Program Running MigrateFormatToActivityDataV2 migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:05.083 +00:00  13] [Information] API.Program No activity data requires Format backfill
[Kavita] [2026-04-14 07:08:05.087 +00:00  13] [Fatal] API.Program Running MigrateFormatToActivityDataV2 migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:05.088 +00:00  13] [Fatal] API.Program Running MigrateIncorrectUtcTimes migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:05.104 +00:00  13] [Information] API.Program Corrected 0 session records
[Kavita] [2026-04-14 07:08:05.109 +00:00  13] [Fatal] API.Program Running MigrateIncorrectUtcTimes migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:05.116 +00:00  13] [Information] API.Program Running Migrations - complete
[Kavita] [2026-04-14 07:08:05.593 +00:00  1] [Information] API.Program Starting with base url as /
[Kavita] [2026-04-14 07:08:05.682 +00:00  1] [Information] Microsoft.Hosting.Lifetime Now listening on: http://[::]:5000
[Kavita] [2026-04-14 07:08:05.685 +00:00  1] [Information] API.Program Kavita - v0.8.9.1
[Kavita] [2026-04-14 07:08:05.705 +00:00  1] [Information] Microsoft.Hosting.Lifetime Application started. Press Ctrl+C to shut down.
[Kavita] [2026-04-14 07:08:05.705 +00:00  1] [Information] Microsoft.Hosting.Lifetime Hosting environment: Production
[Kavita] [2026-04-14 07:08:05.706 +00:00  1] [Information] Microsoft.Hosting.Lifetime Content root path: /kavita
[Kavita] [2026-04-14 07:09:00.473 +00:00  16] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 200 in 44.2020 ms
[Kavita] [2026-04-14 07:09:01.209 +00:00  47] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/account/oidc-authenticated responded 200 in 16.7000 ms
[Kavita] [2026-04-14 07:09:01.958 +00:00  17] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/settings/oidc responded 200 in 57.8698 ms
[Kavita] [2026-04-14 07:09:01.987 +00:00  45] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/locale responded 200 in 696.6973 ms
[Kavita] [2026-04-14 07:09:01.988 +00:00  52] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 88.1183 ms
[Kavita] [2026-04-14 07:09:02.142 +00:00  52] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 2.6419 ms
[Kavita] [2026-04-14 07:12:29.329 +00:00  51] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 304 in 62.1206 ms
[Kavita] [2026-04-14 07:12:30.099 +00:00  53] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/account/oidc-authenticated responded 200 in 3.7856 ms
[Kavita] [2026-04-14 07:12:30.385 +00:00  54] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/locale responded 200 in 64.3639 ms
[Kavita] [2026-04-14 07:12:34.129 +00:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/account/oidc-authenticated responded 200 in 17.4176 ms
[Kavita] [2026-04-14 07:12:34.284 +00:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/locale responded 200 in 2.0027 ms
[Kavita] [2026-04-14 07:12:34.691 +00:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/settings/oidc responded 200 in 7.1232 ms
[Kavita] [2026-04-14 07:12:34.697 +00:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 1.8500 ms
[Kavita] [2026-04-14 07:12:35.127 +00:00  53] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 3.6577 ms
[Kavita] [2026-04-14 07:16:55.081 +00:00  60] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 304 in 0.4325 ms
[Kavita] [2026-04-14 07:16:56.135 +00:00  59] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/account/oidc-authenticated responded 200 in 2.5257 ms
[Kavita] [2026-04-14 07:16:56.260 +00:00  56] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/locale responded 200 in 1.8900 ms
